Key,Defunct,Latitude,Longitude,Fullname,Region,Spring,SummerUnit,Fall,Notes
Salmon Arm,false,50.68277778,-119.2286111,Salmon Arm Cadet Flying Site,Pacific,FALSE,FALSE,FALSE,
Smithers,FALSE,54.822636,-127.181577,Smithers Cadet Flying Site,Pacific,FALSE,FALSE,FALSE,
Trail,false,49.05555556,-117.6091667,Trail Cadet Flying Site,Pacific,FALSE,FALSE,FALSE,
Victoria,FALSE,48.645346,-123.419218,Victoria Cadet Flying Site,Pacific,FALSE,FALSE,FALSE,
YCD,true,49.05222222,-123.8702778,Nanaimo,Pacific,,,,
YHE,true,49.36833333,-121.4980556,Hope,Pacific,,,,
YNJ,true,49.10111111,-122.6305556,Langley,Pacific,,,,
YPK,true,49.21611111,-122.71,Pitt Meadows,Pacific,,,,
YQQ,true,49.71083333,-124.8866667,Comox,Pacific,,,,
YXS,true,53.88416667,-122.6775,Prince George,Pacific,,,,
YXX,true,49.02527778,-122.3605556,Abbotsford,Pacific,,,,
ZAM,true,50.68277778,-119.2286111,Salmon Arm,Pacific,,,,
ZGF,true,49.01555556,-118.4305556,Grand Forks,Pacific,,,,
BGC,true,49.91,-99.9519,Brandon Gliding Centre,Prairie,,,,
EGC,true,53.6675,-113.8544,Edmonton Gliding Centre,Prairie,,,,
GGC,true,50.6281,-97.0433,Gimli Gliding Centre,Prairie,,,,
JGC,true,53.7281,-113.0872,Josephburg Gliding Centre,Prairie,,,,
MJGC,true,50.3303,-105.5592,Moose Jaw Gliding Centre,Prairie,,,,
NBGC,true,52.7692,-108.2436,North Battleford Gliding Centre,Prairie,,,,
NGC,true,51.85,-114.0667,Netook Gliding Centre,Prairie,,,,
NGC Fam,true,51.85,-114.0667,Summer Famil Operations,Prairie,,,,
Peace River,true,55.1797,-118.885,Peace River Cadet Flying Site,Prairie,,,,
PRGC,true,55.1797,-118.885,Peace River Gliding Centre,Prairie,,,,
RGS (Pra),true,50.6281,-97.0433,Region Gliding School Prairie,Prairie,,,,
SAGC,true,50.4047,-113.2833,Southern Alberta Gliding Centre,Prairie,,,,
